TEMP_C,PRESSURE_PA,PING_TIME_US
21.90,99278,10266
21.90,99281,10266
21.90,99284,10266
21.90,99284,10292
21.90,99285,10238
21.90,99280,10285
21.90,99279,10264
21.90,99287,10238
21.80,99279,10238
21.90,99287,10238
21.90,99275,10315
21.90,99279,10237
21.90,99281,10386
21.90,99283,10393
21.90,99280,10444
21.90,99283,10238
21.90,99282,10238
21.90,99284,10289
21.90,99286,10393
21.90,99285,10238
21.90,99279,10310
21.90,99280,10368
21.90,99285,10264
21.90,99280,10266
21.90,99280,10213
21.90,99280,10369
21.80,99283,10315
21.90,99286,10392
21.90,99288,10413
21.80,99286,10264
21.90,99284,10315
21.90,99279,10238
21.80,99282,10264
